price,sector,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,has_servant_room,has_study_room,has_pooja_room,has_store_room,has_others,furnishing_type,luxury_score,super_built_up_area,built_up_area,carpet_area
3.35,Palam Vihar,7444.0,4500.0,4,4,3+,2.0,New Property,0,1,0,0,0,0,66,,,4500.0
1.5,Sector 88A,8108.0,1850.0,3,3,3+,11.0,New Property,0,0,0,0,0,0,39,1850.0,1850.0,
1.65,Sector 91,6345.0,2600.0,4,4,3+,11.0,Moderately Old,1,0,0,0,0,0,72,2364.0,2364.0,
2.0,Sector 91,6967.0,2871.0,4,4,3+,16.0,Moderately Old,1,1,1,0,0,0,65,2727.0,2727.0,
1.75,near sector 1 market,6250.0,2800.0,4,4,3,8.0,New Property,1,0,0,0,0,0,29,,,2800.0
0.9,Sector 68,7627.0,1180.0,2,2,2,1.0,New Property,0,0,0,0,0,0,44,,,1180.0
1.25,Sector 70,6703.0,1865.0,3,3,3,18.0,Under Construction,0,0,0,0,0,0,51,1865.0,1865.0,
1.0,Sector 37C,6506.0,1537.0,3,3,3+,8.0,Relatively New,0,0,0,0,0,1,49,,,1537.0
2.15,Sector 85,8928.0,2408.0,3,5,3,2.0,New Property,0,0,0,0,0,0,0,2408.0,2408.0,
1.0,Sector 67,12106.0,826.0,1,1,1,17.0,Relatively New,0,0,0,0,0,0,49,,826.0,
1.65,Sector 70A,13074.0,1262.0,2,2,3,23.0,New Property,0,0,0,0,0,0,81,1262.0,1262.0,
1.79,Sector 90,8081.0,2215.0,4,3,3+,10.0,Moderately Old,0,0,0,0,0,0,63,,,2215.0
1.8,Sector 85,13136.0,1370.0,3,3,3,30.0,Under Construction,0,0,0,0,0,0,45,,,127.3
1.45,Gwal Pahari,10139.0,1430.0,3,3,3,4.0,Under Construction,0,0,0,0,0,0,49,,1430.0,760.0
0.22,Block A Surya Vihar,4731.0,465.0,1,1,1,2.0,Relatively New,0,0,0,0,0,0,0,585.0,585.0,465.0
0.36,Sector 7,5142.0,700.0,2,2,1,0.0,Relatively New,0,0,0,0,0,0,0,,700.0,
0.25,Sohna,4258.0,587.0,2,2,1,0.0,Relatively New,0,0,0,0,0,0,38,,587.0,
1.15,Sector 79,7496.0,1534.0,3,3,3+,1.0,Under Construction,0,1,0,0,0,0,0,1534.0,1534.0,1103.0
1.65,Sohna Road,17441.0,946.0,3,3,0,1.0,Undefined,0,0,0,0,0,0,0,,,946.0
2.9,Sector 113,12619.0,2298.0,4,4,3+,11.0,Under Construction,1,1,0,0,0,0,49,,,2298.0
0.6,Sector 92,4546.0,1320.0,2,2,3,11.0,Under Construction,0,0,0,0,1,0,23,1320.0,1320.0,
2.4,Malibu Town,10000.0,2400.0,3,3,0,0.0,Moderately Old,0,0,0,0,0,1,22,,,2400.0
1.25,Sector 70A,9904.0,1262.0,2,2,3,19.0,Undefined,0,0,0,0,0,0,0,,,1262.0
2.15,Sector 65,15003.0,1433.0,2,2,3+,28.0,Undefined,0,0,0,0,0,0,0,,1433.0,
0.29,Sohna,3970.0,730.0,2,2,1,4.0,Undefined,0,0,0,0,0,0,0,,743.0,519.0
0.38,Sohna,5067.0,750.0,2,2,2,9.0,Undefined,0,0,0,0,0,0,0,,750.0,650.0
1.5,Golf Course Road,12500.0,1200.0,2,2,3,7.0,Undefined,0,0,0,0,0,0,0,,1200.0,1100.0
0.39,Sector 4,4105.0,950.0,2,2,1,1.0,Undefined,0,0,0,0,0,0,0,,950.0,750.0
1.6,Sector 99,6667.0,2400.0,3,4,0,15.0,Undefined,0,0,0,0,0,0,0,,2400.0,
1.7,Sector 68,8504.0,1999.0,4,4,3,2.0,New Property,0,0,0,0,0,0,0,1999.0,1999.0,
